id,datetime,action,request_length,response_length,processing_time
542131761,20.04.2025 00:31:31,Start,0,243,0.24035978317260742
542131761,20.04.2025 00:31:45,Help,0,140,0.15000677108764648
542131761,20.04.2025 00:31:59,Joke,29,211,2.497985601425171
542131761,20.04.2025 00:32:11,Joke,29,113,1.1818046569824219
542131761,20.04.2025 00:32:19,Joke,29,211,2.4994821548461914
542131761,20.04.2025 00:32:28,Joke,29,211,2.6199991703033447
542131761,20.04.2025 00:32:47,Answer,26,248,2.7767066955566406
542131761,20.04.2025 00:32:54,Answer,6,110,0.766343355178833
542131761,20.04.2025 00:33:34,Answer,65,902,5.2519307136535645
542131761,20.04.2025 00:34:14,Answer,45,161,1.0856473445892334
542131761,20.04.2025 00:34:35,Answer,66,717,4.860362529754639
542131761,20.04.2025 00:34:59,Start,0,243,0.29374170303344727
387853716,20.04.2025 00:42:11,Start,0,238,0.2217700481414795
387853716,20.04.2025 00:42:30,Joke,29,194,2.441230058670044
387853716,20.04.2025 00:42:45,Joke,29,194,2.4409258365631104
387853716,20.04.2025 00:42:52,Joke,29,211,2.5716378688812256
387853716,20.04.2025 00:42:55,Start,0,238,0.12977313995361328
387853716,20.04.2025 00:46:16,Answer,25,403,3.103168487548828
387853716,20.04.2025 00:46:40,Answer,7,26,0.5458292961120605
352799286,20.04.2025 00:46:56,Start,0,232,0.2196495532989502
387853716,20.04.2025 00:46:59,Answer,5,55,0.6153273582458496
352799286,20.04.2025 00:47:06,Answer,7,125,0.9573497772216797
352799286,20.04.2025 00:47:14,Answer,14,48,0.6316380500793457
352799286,20.04.2025 00:47:27,Answer,26,58,0.7702646255493164
352799286,20.04.2025 00:47:40,Answer,9,1729,8.450943231582642
352799286,20.04.2025 00:47:55,Answer,38,485,3.3574821949005127
387853716,20.04.2025 00:49:07,Answer,898,2857,13.43834900856018
352799286,20.04.2025 00:49:09,Answer,26,228,2.182687759399414
387853716,20.04.2025 00:52:16,Answer,453,1480,8.947041988372803
387853716,20.04.2025 00:53:06,Answer,45,151,1.1137135028839111
387853716,20.04.2025 00:53:41,Answer,1353,3326,16.0395667552948
996974827,20.04.2025 00:56:05,Start,0,236,0.22286415100097656
996974827,20.04.2025 00:56:24,Joke,29,186,2.373253107070923
387853716,20.04.2025 00:56:28,Answer,2342,145,2.2930445671081543
996974827,20.04.2025 00:56:31,Joke,29,100,0.9514670372009277
996974827,20.04.2025 00:56:40,Joke,29,194,2.4483330249786377
387853716,20.04.2025 00:56:47,Answer,2625,153,2.6916778087615967
996974827,20.04.2025 00:56:48,Joke,29,95,0.9736976623535156
996974827,20.04.2025 00:56:53,Joke,29,211,2.4144721031188965
387853716,20.04.2025 00:57:07,Answer,2302,148,2.325284481048584
996974827,20.04.2025 00:57:11,Answer,16,71,0.6726481914520264
387853716,20.04.2025 01:50:00,Answer,684,3978,19.510523557662964
542131761,20.04.2025 01:50:20,Answer,12,29,0.5720107555389404
542131761,20.04.2025 01:50:20,Start,0,243,0.12932395935058594
731672112,20.04.2025 01:50:20,Start,0,236,0.1365499496459961
542131761,20.04.2025 01:50:20,Start,0,243,0.13181185722351074
